Name	Summary	Owner
ami-creator	A simple tool based on python-imgcreate to create Fedora/Red Hat style images that can be used as an AMI in EC2.	mos-linux
atop	An advanced interactive monitor to view the load on system and process level	mos-linux
b43-fwcutter	Firmware extraction tool for Broadcom wireless driver	
b43-openfwwf	Open firmware for some Broadcom 43xx series WLAN chips	
bfa-firmware	Brocade Fibre Channel HBA Firmware	
btparser	Parser and analyzer for backtraces produced by GDB	
busybox	Statically linked binary providing simplified versions of system commands	
c-ares19	A library that performs asynchronous DNS operations	?
ceph	User space components of the Ceph file system	ceph
ceph-common	Ceph Common	ceph
ceph-common	Ceph Common	ceph
ceph-deploy	Admin and deploy tool for Ceph	ceph
ceph-radosgw	Rados REST gateway	ceph
ceph-test	Ceph benchmarks and test tools	ceph
cirros-testvm	CirrOS is a Tiny OS that specializes in running on a cloud	mos-linux
cirros-testvm-mellanox	MELLANOX OFED light package	mos-linux
cirros-testvmware	CirrOS is a Tiny OS that specializes in running on a cloud (VMDK format)	partner
cloog-ppl	Parma Polyhedra Library backend (ppl) based version of the Cloog binaries	
cluster-glue-libs	Reusable cluster libraries	?
cobbler	Boot server configurator	fuel-xxx
cobbler-web	Web interface for Cobbler	fuel-xxx
compat-readline5	A library for editing typed command lines	
conntrack-tools	Tools to manipulate netfilter connection tracking table	mos-linux
ConsoleKit	System daemon for tracking users, sessions and seats	
ConsoleKit-libs	ConsoleKit libraries	
coreutils-libs	Libraries for coreutils	
cpufreq-init	cpufreq-init	mos-linux
cpuspeed	CPU frequency adjusting daemon	
crmsh	High Availability cluster command-line interface	fuel-library
daemonize	Run a command as a Unix daemon	fuel-library
dash	Small and fast POSIX-compliant shell	
db4	The Berkeley DB database library (version 4) for C	
db4-cxx	The Berkeley DB database library (version 4) for C++	
db4-devel	C development files for the Berkeley DB (version 4) library	
db4-utils	Command line tools for managing Berkeley DB (version 4) databases	
debmirror	Debian partial mirror script, with ftp and package pool support	fuel-xxx
debootstrap	Debian GNU/Linux bootstrapper	?
disktype	Detect the content format of a disk or disk image	?
Django14	A high-level Python Web framework	mos-dat
dkms	Dynamic Kernel Module Support Framework	?
dnsmasq	A lightweight DHCP/caching DNS server	mos-linux
dnsmasq-utils	Utilities for manipulating DHCP server leases	mos-linux
dpkg	Package maintenance system for Debian Linux	?
dpkg-devel	Debian package development tools	?
dracut-kernel	Metapackage to build generic initramfs with dracut with only kernel modules	
eggdbus	Experimental D-Bus bindings for GObject	
eject	A program that ejects removable media using software control	
erlang	General-purpose programming language and runtime environment	?
erlang-appmon	A utility used to supervise Applications executing on several Erlang nodes	?
erlang-asn1	Provides support for Abstract Syntax Notation One	?
erlang-common_test	A portable framework for automatic testing	?
erlang-compiler	A byte code compiler for Erlang which produces highly compact code	?
erlang-cosEvent	Orber OMG Event Service	?
erlang-cosEventDomain	Orber OMG Event Domain Service	?
erlang-cosFileTransfer	Orber OMG File Transfer Service	?
erlang-cosNotification	Orber OMG Notification Service	?
erlang-cosProperty	Orber OMG Property Service	?
erlang-cosTime	Orber OMG Timer and TimerEvent Service	?
erlang-cosTransactions	Orber OMG Transaction Service	?
erlang-crypto	Cryptographical support	?
erlang-debugger	A debugger for debugging and testing of Erlang programs	?
erlang-dialyzer	A DIscrepany AnaLYZer for ERlang programs	?
erlang-diameter	Diameter (RFC 3588) library	?
erlang-doc	Erlang documentation	?
erlang-docbuilder	Tool for generating HTML documentation for applications	?
erlang-edoc	A utility used to generate documentation out of tags in source files	?
erlang-erl_docgen	A utility used to generate erlang HTML documentation	?
erlang-erl_interface	Low level interface to C	?
erlang-erts	Functionality necessary to run the Erlang System itself	?
erlang-et	An event tracer for Erlang programs	?
erlang-eunit	Support for unit testing	?
erlang-examples	Examples for some Erlang modules	?
erlang-gs	A library for Tcl/Tk support in Erlang	?
erlang-hipe	High Performance Erlang	?
erlang-ic	IDL compiler	?
erlang-inets	A set of services such as a Web server and a ftp client etc	?
erlang-inviso	A trace tool for both development and delivered systems	?
erlang-jinterface	A library for accessing Java from Erlang	?
erlang-kernel	Main erlang library	?
erlang-megaco	Megaco/H.248 support library	?
erlang-mnesia	A heavy duty real-time distributed database	?
erlang-observer	A set of tools for tracing and investigation of distributed systems	?
erlang-odbc	A library for unixODBC support in Erlang	?
erlang-orber	A CORBA Object Request Broker	?
erlang-os_mon	A monitor which allows inspection of the underlying operating system	?
erlang-otp_mibs	SNMP management information base for Erlang/OTP nodes	?
erlang-parsetools	A set of parsing and lexical analysis tools	?
erlang-percept	A concurrency profiler tool	?
erlang-pman	A graphical process manager used to inspect Erlang processes	?
erlang-public_key	API to public key infrastructure	?
erlang-reltool	A release management tool	?
erlang-runtime_tools	A set of tools to include in a production system	?
erlang-sasl	The System Architecture Support Libraries	?
erlang-snmp	Simple Network Management Protocol (SNMP) support	?
erlang-ssh	Secure Shell application with sftp and ssh support	?
erlang-ssl	Secure Socket Layer support	?
erlang-stdlib	The Erlang standard libraries	?
erlang-syntax_tools	A set of tools for dealing with erlang sources	?
erlang-test_server	The OTP Test Server	?
erlang-toolbar	A tool bar simplifying access to the Erlang tools	?
erlang-tools	A set of programming tools including a coverage analyzer etc	?
erlang-tv	An ETS and MNESIA graphical table visualizer	?
erlang-typer	TYPe annotator for ERlang programs	?
erlang-webtool	A tool that simplifying the use of web based Erlang tools	?
erlang-wx	A library for wxWidgets support in Erlang	?
erlang-xmerl	Provides support for XML 1.0	?
eswitchd	Mellanox eSwitch Daemon	?
facter	Ruby module for collecting simple facts about a host operating system	?
fcgiwrap	Simple FastCGI wrapper for CGI scripts	?
fdupes	Identifying or deleting duplicate files	?
febootstrap-supermin-helper	Runtime support for febootstrap	?
fencing-agent	Fencing agent	?
fuel-createmirror	CLI script for MOS/upstream mirroring	fuel-python
fuel-dockerctl	Fuel project utilities for Docker container management tool	fuel-python
fuel-ostf	cloud computing testing	fuel-python
fuel-utils	Set of tool for maintance installed Openstack cluster	fuel-python
fuelmenu	Console utility for pre-configuration of Fuel server	fuel
galera	Galera: a synchronous multi-master wsrep provider (replication engine)	?
gperftools-libs	Libraries provided by gperftools	?
gpxe-bootimgs	Network boot loader images in bootable USB, CD, floppy and GRUB formats	
hal	Hardware Abstraction Layer	
hal-info	Device information files for HAL	
hal-libs	Libraries for accessing HAL	
hiera	A simple pluggable Hierarchical Database	?
hpsa	hpsa kernel module	mos-linux
htop	Interactive process viewer	?
http-parser	HTTP request/response parser for C	?
iksemel	An XML parser library designed for Jabber applications	?
iperf3	Measurement tool for TCP/UDP bandwidth performance	mos-linux
ipw2100-firmware	Firmware for Intel® PRO/Wireless 2100 network adaptors	
ipw2200-firmware	Firmware for Intel® PRO/Wireless 2200 network adaptors	
ipxe-roms-qemu	Network boot loader roms supported by QEMU, .rom format	mos-linux
json-c	A JSON implementation in C	?
kernel-firmware	Firmware files used by the Linux kernel	mos-linux
kernel-lt	The Linux kernel. (The core of any Linux-based operating system.)	mos-linux
kernel-lt-devel	Development package for building kernel modules to match the kernel.	mos-linux
kernel-lt-headers	Header files for the Linux kernel for use by glibc	mos-linux
kmod-openvswitch	openvswitch kernel module(s)	mos-linux
kmod-openvswitch-lt	Open vSwitch kernel module	mos-linux
leveldb	A fast and lightweight key/value database library by Google	ceph
libcephfs1	Ceph distributed file system client library	ceph
libertas-usb8388-firmware	Firmware for Marvell Libertas USB 8388 Network Adapter	mos-linux
libevent-headers	Header file for development  for libevent	
libewf	Library for the Expert Witness Compression Format (EWF)	?
libfcgi	FastCGI library	?
libgssglue	Generic Security Services Application Programming Interface Library	
libmongodb	MongoDB shared libraries	?
libnih	Lightweight application development library	
librados2	RADOS distributed object store client library	ceph
librbd1	RADOS block device client library	ceph
libudev	Dynamic library to access udev device information	
libunwind	An unwinding library	?
libusb	A library which allows userspace access to USB devices	
libusbx	Library for accessing USB devices	mos-linux
libuv	Platform layer for node.js	?
libuv-devel	Development libraries for libuv	?
linux-firmware	Firmware files used by the Linux kernel	mos-linux
lldpad-libs	Libraries for communication with lldpad	
lrzip	Compression program optimized for large files	mos-linux
lshell	A Python-based limited shell	?
lxc	Linux Resource Containers	mos-linux
lxc-libs	Runtime library files for lxc	mos-linux
MAKEDEV	A program used for creating device files in /dev	
mcollective	Application Server for hosting Ruby code on any capable middleware	fuel-python
mcollective-client	Client tools for the mcollective Application Server	?
mcollective-common	Common libraries for the mcollective clients and servers	?
megaraid_sas	megaraid_sas kernel module	mos-linux
mesa-dri-filesystem	Mesa DRI driver filesystem	
mesa-dri1-drivers	Mesa graphics libraries	
mesa-libGLU	Mesa libGLU runtime library	
mingetty	A compact getty program for virtual consoles only	
mlnx-ofed-light	MELLANOX OFED light package	partner
mod_fastcgi	Apache module that enables FastCGI	
mongodb	High-performance, schema-free document-oriented database	mos-dat
mongodb-server	MongoDB server, sharding server and support scripts	mos-dat
monit	Process monitor and restart utility	?
murano	OpenStack Murano API and Engine	mos-dat
murano-dashboard	OpenStack Murano Dashboard	mos-dat
MySQL-client-wsrep	MySQL - Client	
mysql-libs	The shared libraries required for MySQL clients	
MySQL-python	An interface to MySQL	mos-dat
MySQL-server-wsrep	MySQL: a very fast and reliable SQL database server	
MySQL-shared-wsrep	MySQL - Shared libraries	
nagios-common	Provides common directories, uid and gid among nagios-related packages	?
nailgun	Nailgun package	fuel-python
nailgun-agent	Nailgun startup agent	fuel-python
nailgun-mcagents	MCollective Agents	fuel-python
nailgun-net-check	Network checking package for CentOS6.x	fuel-python
nc	Reads and writes data across network connections using TCP or UDP	
nfs-utils-lib	Network File System Support Library	
nginx	A high performance web server and reverse proxy server	?
nodejs	JavaScript runtime	mos-dat
nodejs-less	Less.js The dynamic stylesheet language	mos-dat
novnc	VNC client using HTML5 (Web Sockets, Canvas) with encryption support	mos-linux
nrpe	Host/service/network monitoring agent for Nagios	?
openpgm	An implementation of the PGM reliable multicast protocol	?
openstack-ceilometer-alarm	OpenStack ceilometer alarm services	?
openstack-ceilometer-api	OpenStack ceilometer API service	mos-dat
openstack-ceilometer-central	OpenStack ceilometer central agent	?
openstack-ceilometer-collector	OpenStack ceilometer collector	mos-dat
openstack-ceilometer-common	Components common to all OpenStack ceilometer services	mos-dat
openstack-ceilometer-compute	OpenStack ceilometer compute agent	?
openstack-ceilometer-notification	OpenStack ceilometer notification agent	?
openstack-cinder	OpenStack Volume service	?
openstack-dashboard	Openstack web user interface reference implementation	mos-dat
openstack-glance	OpenStack Image Service	mos-dat
openstack-heat-api	The Heat API	mos-dat
openstack-heat-api-cfn	Heat CloudFormation API	mos-dat
openstack-heat-api-cloudwatch	Heat CloudWatch API	mos-dat
openstack-heat-common	Heat common	mos-dat
openstack-heat-docker	The Heat Docker resource	mos-dat
openstack-heat-engine	The Heat engine	mos-dat
openstack-keystone	OpenStack Identity Service	mos-dat
openstack-neutron	OpenStack Networking Service	mos-dat
openstack-neutron-bigswitch	Neutron Big Switch plugin	mos-dat
openstack-neutron-brocade	Neutron Brocade plugin	mos-dat
openstack-neutron-cisco	Neutron Cisco plugin	mos-dat
openstack-neutron-hyperv	Neutron Hyper-V plugin	mos-dat
openstack-neutron-ibm	Neutron IBM plugin	mos-dat
openstack-neutron-linuxbridge	Neutron linuxbridge plugin	mos-dat
openstack-neutron-mellanox	Neutron Mellanox plugin	mos-dat
openstack-neutron-metering-agent	Neutron bandwidth metering agent	mos-dat
openstack-neutron-midonet	Neutron MidoNet plugin	mos-dat
openstack-neutron-ml2	Neutron ML2 plugin	mos-dat
openstack-neutron-nec	Neutron NEC plugin	mos-dat
openstack-neutron-nuage	Neutron Nuage plugin	mos-dat
openstack-neutron-ofagent	Neutron ofagent plugin from ryu project	mos-dat
openstack-neutron-oneconvergence-nvsd	Neutron One Convergence NVSD plugin	mos-dat
openstack-neutron-openvswitch	Neutron openvswitch plugin	mos-dat
openstack-neutron-plumgrid	Neutron PLUMgrid plugin	mos-dat
openstack-neutron-ryu	Neutron Ryu plugin	mos-dat
openstack-neutron-vmware	Neutron VMWare NSX support	mos-dat
openstack-neutron-vpn-agent	Neutron VPNaaS agent	mos-dat
openstack-nova	OpenStack Compute (nova)	mos-dat
openstack-nova-api	OpenStack Nova API services	mos-dat
openstack-nova-cells	OpenStack Nova Cells services	mos-dat
openstack-nova-cert	OpenStack Nova certificate management service	mos-dat
openstack-nova-common	Components common to all OpenStack Nova services	mos-dat
openstack-nova-compute	OpenStack Nova Virtual Machine control service	mos-dat
openstack-nova-conductor	OpenStack Nova Conductor services	mos-dat
openstack-nova-console	OpenStack Nova console access services	mos-dat
openstack-nova-network	OpenStack Nova Network control service	mos-dat
openstack-nova-novncproxy	OpenStack Nova noVNC proxy service	mos-dat
openstack-nova-objectstore	OpenStack Nova simple object store service	mos-dat
openstack-nova-scheduler	OpenStack Nova VM distribution service	mos-dat
openstack-swift	OpenStack Object Storage (Swift)	?
openstack-swift-account	Account services for Swift	?
openstack-swift-container	Container services for Swift	?
openstack-swift-object	Object services for Swift	?
openstack-swift-plugin-swift3	The swift3 plugin for Openstack Swift	?
openstack-swift-proxy	A proxy server for Swift	?
openstack-utils	Helper utilities for OpenStack services	?
openvswitch	Open vSwitch daemon/database/utilities	
pam_passwdqc	Pluggable password quality-control module	
pcapy	A Python interface to libpcap	?
pcmciautils	PCMCIA utilities and initialization programs	
percona-toolkit	Essential command-line utilities for MySQL	mos-linux
percona-xtrabackup	XtraBackup online backup for MySQL / InnoDB	mos-linux
perl-Compress-Zlib	A module providing Perl interfaces to the zlib compression library	
perl-Config-General	Generic configuration module for Perl	?
perl-DBD-MySQL	A MySQL interface for perl	?
perl-hivex	Perl bindings for hivex	?
perl-IO-Compress-Base	Base Class for IO::Compress modules	
perl-IO-Compress-Zlib	Perl interface to allow reading and writing of gzip and zip data	
perl-LockFile-Simple	Simple file locking scheme	?
postgresql	PostgreSQL client programs and libraries	?
postgresql-devel	PostgreSQL development header files and libraries	?
postgresql-libs	The shared libraries required for any PostgreSQL clients	?
postgresql-server	The programs needed to create and run a PostgreSQL server	?
ppl	The Parma Polyhedra Library: a library of numerical abstractions	
pssh	Parallel SSH to control large numbers of Machines simultaneously	?
puppet	A network tool for managing many disparate systems	?
pydot-ng	Python interface to Graphviz's Dot	fuel-xxx
pyOpenSSL	Python wrapper module around the OpenSSL library	mos-dat
pyparsing	An object-oriented approach to text processing	mos-dat
pyparsing-doc	Documentation for pyparsing	mos-dat
pysendfile	Python interface to the sendfile(2) system call	mos-dat
pysnmp	SNMP engine written in Python	mos-dat
python-actdiag	actdiag generate activity-diagram image file from spec-text file.	?
python-alembic	Database migration tool for SQLAlchemy	mos-dat
python-amqp	Low-level AMQP client for Python (fork of amqplib)	mos-dat
python-amqplib	Client library for AMQP	mos-dat
python-anyjson	Wraps the best available JSON implementation available	mos-dat
python-argparse	Optparse inspired command line parser for Python	mos-dat
python-babel	Library for internationalizing Python applications	mos-dat
python-barbicanclient	Сlient for the Barbican Key Management API	mos-dat
python-beautifulsoup4	HTML/XML parser for quick-turnaround applications like screen-scraping	mos-dat
python-blockdiag	blockdiag generate block-diagram image file from spec-text file.	?
python-bson	Python bson library	mos-dat
python-ceilometer	OpenStack ceilometer python libraries	mos-dat
python-ceilometerclient	Python API and CLI for OpenStack Ceilometer	mos-dat
python-ceph	Python libraries for the Ceph distributed filesystem	ceph
python-cherrypy	Pythonic, object-oriented web development framework	?
python-cinder	OpenStack Volume Python libraries	mos-dat
python-cinderclient	Python API and CLI for OpenStack Cinder	mos-dat
python-cliff	Command Line Interface Formulation Framework	mos-dat
python-cliff-tablib	Tablib formatters for cliff	mos-dat
python-cloudfiles	Python language bindings for Rackspace CloudFiles API	mos-dat
python-cm-api	Python cloudera client	mos-dat
python-cmd2	Extra features for standard library's cmd module	mos-dat
python-croniter	Iteration for datetime object with cron like format	mos-dat
python-d2to1	Allows using distutils2-like setup.cfg files with setup.py	mos-dat
python-daemonize	Library to enable your code run as a daemon process on Unix-like systems	?
python-distribute	distribute legacy wrapper	
python-django	A high-level Python Web framework	mos-dat
python-django-appconf	A helper class for handling configuration defaults of packaged apps gracefully	mos-dat
python-django-compressor	Compresses linked and inline JavaScript or CSS into single cached files	mos-dat
python-django-floppyforms	Full control of form rendering in the templates	mos-dat
python-django-horizon	Django application for talking to Openstack	mos-dat
python-django-horizon-doc	Documentation for Django Horizon	mos-dat
python-django-openstack-auth	Django authentication backend for OpenStack Keystone	mos-dat
python-django-pyscss	Makes it easier to use PySCSS in Django	mos-dat
python-dns	DNS toolkit for Python	mos-dat
python-dogpile-cache	A caching front-end based on the Dogpile lock	mos-dat
python-dogpile-core	A 'dogpile' lock, typically used as a component of a larger caching solution	mos-dat
python-ecdsa	ECDSA cryptographic signature library (pure python)	?
python-eventlet	Highly concurrent networking library	mos-dat
python-fabric	Fabric is a simple, Pythonic tool for remote execution and deployment	mos-dat
python-flask	A micro-framework for Python based on Werkzeug, Jinja 2 and good intentions	mos-dat
python-fuelclient	Console utility for working with fuel rest api	mos-dat
python-funcparserlib	Recursive descent parsing library based on functional combinators	
python-futures	Backport of the concurrent.futures package from Python 3.2	mos-dat
python-fysom	pYthOn Finite State Machine	
python-gevent	A coroutine-based Python networking library	mos-dat
python-gflags	Commandline flags module for Python	?
python-glance	Glance Python libraries	mos-dat
python-glance-store	glance_store	mos-dat
python-glanceclient	Python API and CLI for OpenStack Glance	mos-dat
python-greenlet	Lightweight in-process concurrent programming	mos-dat
python-greenlet-devel	C development headers for python-greenlet	mos-dat
python-happybase	A developer-friendly Python library to interact with Apache HBase	mos-dat
python-heatclient	Python API and CLI for OpenStack Heat	mos-dat
python-html5lib	A python based HTML parser/tokenizer	mos-dat
python-httplib2	A comprehensive HTTP client library	mos-dat
python-imaging	Python's own image processing library	
python-imgcreate	Python modules for building system images	mos-dat
python-importlib	Backport of importlib.import_module() from Python 2.7	mos-dat
python-ipaddr	A python library for working with IP addresses, both IPv4 and IPv6	mos-dat
python-iso8601	Simple module to parse ISO 8601 dates	mos-dat
python-itsdangerous	Python library for passing trusted data to untrusted environments	mos-dat
python-iwlib	Wireless settings python bindings	
python-jinja2	General purpose template engine	mos-dat
python-jsonpath-rw	Extended implementation of JSONPath for Python	mos-dat
